# Data for Board 3
# Frequency(Hz)	Noise(nV/rtHz)	Pair_ID
1.247500e-01	3.726726e-04	2.000000e+00
1.371250e-01	4.301661e-05	2.000000e+00
1.618750e-01	1.666132e-04	2.000000e+00
1.742500e-01	6.217435e-04	2.000000e+00
1.866250e-01	5.757212e-04	2.000000e+00
1.990000e-01	3.362126e-04	2.000000e+00
2.113750e-01	4.117440e-04	2.000000e+00
2.237500e-01	5.853032e-04	2.000000e+00
2.361250e-01	5.910097e-04	2.000000e+00
2.485000e-01	5.472434e-04	2.000000e+00
2.608750e-01	5.782226e-04	2.000000e+00
2.732500e-01	5.704897e-04	2.000000e+00
2.856250e-01	4.311718e-04	2.000000e+00
2.980000e-01	3.941676e-04	2.000000e+00
3.103750e-01	5.002362e-04	2.000000e+00
3.227500e-01	5.240275e-04	2.000000e+00
3.351250e-01	4.374062e-04	2.000000e+00
3.475000e-01	6.025045e-04	2.000000e+00
3.598750e-01	6.636072e-04	2.000000e+00
3.722500e-01	4.883175e-04	2.000000e+00
3.846250e-01	4.169352e-04	2.000000e+00
3.970000e-01	4.242240e-04	2.000000e+00
4.093750e-01	5.427258e-04	2.000000e+00
4.217500e-01	3.336029e-04	2.000000e+00
4.341250e-01	2.616107e-04	2.000000e+00
4.465000e-01	3.060733e-04	2.000000e+00
4.588750e-01	3.312154e-04	2.000000e+00
4.712500e-01	4.372179e-04	2.000000e+00
4.836250e-01	5.210731e-04	2.000000e+00
4.960000e-01	4.839184e-04	2.000000e+00
5.083750e-01	3.084244e-04	2.000000e+00
5.207500e-01	3.402374e-04	2.000000e+00
5.331250e-01	2.444545e-04	2.000000e+00
5.455000e-01	2.664906e-04	2.000000e+00
5.578750e-01	4.322470e-04	2.000000e+00
5.702500e-01	4.328601e-04	2.000000e+00
5.826250e-01	4.293520e-04	2.000000e+00
5.950000e-01	3.084328e-04	2.000000e+00
6.073750e-01	3.738732e-04	2.000000e+00
6.197500e-01	3.452878e-04	2.000000e+00
6.321250e-01	3.274887e-04	2.000000e+00
6.445000e-01	3.672717e-04	2.000000e+00
6.568750e-01	2.719969e-04	2.000000e+00
6.692500e-01	3.128248e-04	2.000000e+00
6.816250e-01	2.444305e-04	2.000000e+00
6.940000e-01	1.670885e-04	2.000000e+00
7.063750e-01	2.405187e-04	2.000000e+00
7.187500e-01	2.364965e-04	2.000000e+00
7.311250e-01	2.006246e-04	2.000000e+00
7.435000e-01	2.264779e-04	2.000000e+00
7.558750e-01	1.888133e-04	2.000000e+00
7.682500e-01	2.845417e-04	2.000000e+00
7.806250e-01	2.920233e-04	2.000000e+00
7.930000e-01	1.315798e-04	2.000000e+00
8.053750e-01	2.152336e-04	2.000000e+00
8.177500e-01	2.075139e-04	2.000000e+00
8.301250e-01	1.563059e-04	2.000000e+00
8.425000e-01	1.768835e-04	2.000000e+00
8.548750e-01	2.795377e-04	2.000000e+00
8.672500e-01	1.856809e-04	2.000000e+00
8.796250e-01	1.799529e-04	2.000000e+00
8.920000e-01	1.484126e-04	2.000000e+00
9.043750e-01	1.555447e-04	2.000000e+00
9.167500e-01	1.599832e-04	2.000000e+00
9.291250e-01	2.850753e-04	2.000000e+00
9.415000e-01	2.256903e-04	2.000000e+00
9.538750e-01	2.346848e-04	2.000000e+00
9.662500e-01	2.150598e-04	2.000000e+00
9.786250e-01	2.072992e-04	2.000000e+00
9.910000e-01	2.809951e-04	2.000000e+00
1.000000e+00	2.618614e-04	2.000000e+00
1.003375e+00	2.584699e-04	2.000000e+00
1.015750e+00	1.969692e-04	2.000000e+00
1.028125e+00	1.773184e-04	2.000000e+00
1.040500e+00	1.950593e-04	2.000000e+00
1.052875e+00	2.464160e-04	2.000000e+00
1.061875e+00	2.125523e-04	2.000000e+00
1.065250e+00	2.294006e-04	2.000000e+00
1.077625e+00	2.594851e-04	2.000000e+00
1.090000e+00	2.655467e-04	2.000000e+00
1.102375e+00	1.742773e-04	2.000000e+00
1.114750e+00	2.827026e-04	2.000000e+00
1.123750e+00	2.049332e-04	2.000000e+00
1.127125e+00	2.488359e-04	2.000000e+00
1.139500e+00	1.969734e-04	2.000000e+00
1.151875e+00	2.082939e-04	2.000000e+00
1.164250e+00	2.553050e-04	2.000000e+00
1.176625e+00	2.369213e-04	2.000000e+00
