f	noise
0.1	0.000873813
0.112375	0.001044825
0.12475	0.0006754665
0.137125	0.0007455205
0.1495	0.0006273686
0.161875	0.0004578637
0.17425	0.000418872
0.186625	0.000347764
0.199	0.0004537882
0.211375	0.0004376935
0.22375	0.0003294671
0.236125	0.0002824029
0.2485	0.0002157708
0.260875	0.0001552442
0.27325	0.0001438085
0.285625	0.0002192319
0.298	0.0003100431
0.310375	0.0003161602
0.32275	0.0003168885
0.335125	0.0002288278
0.3475	0.0002002
0.359875	0.0002999047
0.37225	0.0002632876
0.384625	0.0003073721
0.397	0.0003510539
0.409375	0.0002164295
0.42175	0.0001931718
0.434125	0.000186768
0.4465	0.0001950129
0.458875	0.0001177727
0.47125	0.0001772145
0.483625	0.000213336
0.496	9.198419e-05
0.508375	0.0001513595
0.52075	0.0001370657
0.533125	0.0001346164
0.5455	8.646763e-05
0.557875	0.0001391768
0.57025	0.0001203897
0.582625	0.0001717337
0.595	0.0002195268
0.607375	0.0001390909
0.61975	0.0001218016
0.632125	8.343616e-05
0.6445	8.014236e-05
0.656875	0.0001318752
0.66925	0.0001464824
0.681625	0.0001234468
0.694	0.0001383456
0.706375	0.0001392784
0.71875	0.0001188984
0.731125	0.0001194087
0.7435	7.873594e-05
0.755875	6.409944e-05
0.76825	7.557592e-05
0.780625	7.443423e-05
0.793	0.0001557294
0.805375	8.775917e-05
0.81775	0.0001124281
0.830125	0.0001538769
0.8425	0.0001084203
0.854875	6.37983e-05
0.86725	7.379841e-05
0.879625	0.0001339567
0.892	0.0001059662
0.904375	0.0001040453
0.91675	0.0001237232
0.929125	8.038168e-05
0.9415	7.828377e-05
0.953875	0.0001109353
0.96625	0.0001030628
0.978625	0.0001020712
0.991	0.0001328334
1.0	7.302277e-05
1.003375	0.0001037063
1.01575	6.583071e-05
1.028125	8.905979e-05
1.0405	9.952516e-05
1.052875	9.36683e-05
1.061875	7.556119e-05
1.06525	0.0001083272
1.077625	0.0001078244
1.09	6.915559e-05
1.102375	5.893054e-05
1.11475	6.990914e-05
1.12375	6.482055e-05
1.127125	4.311495e-05
1.1395	5.615994e-05
1.151875	7.144023e-05
1.16425	4.369264e-05
1.176625	3.676289e-05
1.185625	7.798145e-05
1.189	6.526488e-05
1.201375	6.305488e-05
1.21375	5.655711e-05
1.226125	9.049182e-05
1.2385	7.006103e-05
1.2475	8.783545e-05
1.250875	3.006645e-05
1.26325	4.514013e-05
1.275625	5.262024e-05
1.288	7.431694e-05
1.300375	8.06678e-05
1.309375	9.654907e-05
1.31275	7.673769e-05
1.325125	0.0001002023
1.3375	7.502943e-05
1.349875	4.426449e-05
1.36225	4.085182e-05
1.37125	6.151597e-05
1.374625	6.496936e-05
1.387	7.63855e-05
1.399375	9.076653e-05
1.41175	5.861867e-05
1.424125	4.608581e-05
1.433125	3.814158e-05
1.4365	8.431946e-05
1.448875	7.636145e-05
1.46125	4.248088e-05
1.473625	2.744991e-05
1.486	6.890578e-05
1.495	4.638385e-05
1.498375	6.121514e-05
1.51075	5.462094e-05
1.523125	5.745733e-05
1.5355	7.224866e-05
1.547875	6.979105e-05
1.556875	4.390911e-05
1.56025	7.468828e-05
1.572625	6.772996e-05
1.585	5.286263e-05
1.597375	3.969342e-05
1.60975	3.24619e-05
1.61875	5.309334e-05
1.622125	4.881734e-05
1.6345	3.475185e-05
1.646875	5.750028e-05
1.65925	6.509624e-05
1.671625	4.913997e-05
1.680625	5.809472e-05
1.684	5.101747e-05
1.696375	3.847483e-05
1.70875	6.098153e-05
1.721125	4.792928e-05
1.7335	2.565265e-05
1.7425	4.408272e-05
1.745875	2.191166e-05
1.75825	5.817035e-05
1.770625	4.596041e-05
1.783	3.864224e-05
1.795375	4.32432e-05
1.804375	4.666404e-05
1.80775	3.791849e-05
1.820125	3.726725e-05
1.8325	5.307195e-05
1.844875	3.303108e-05
1.85725	2.797697e-05
1.86625	3.606919e-05
1.869625	2.43856e-05
1.882	3.436589e-05
1.894375	4.611422e-05
1.90675	6.261429e-05
1.919125	4.689156e-05
1.928125	4.464487e-05
1.9315	2.863591e-05
1.943875	3.220107e-05
1.95625	3.661914e-05
1.968625	4.592516e-05
1.981	3.836619e-05
1.99	5.518086e-05
1.993375	5.038075e-05
2.00575	4.126595e-05
2.018125	2.559792e-05
2.0305	4.509181e-05
2.042875	4.225025e-05
2.051875	6.030361e-05
2.05525	3.212628e-05
2.067625	3.982621e-05
2.08	5.412245e-05
2.092375	4.578597e-05
2.10475	2.971409e-05
2.11375	4.711526e-05
2.117125	4.210686e-05
2.1295	4.637928e-05
2.141875	2.454602e-05
2.15425	1.343701e-05
2.166625	2.306821e-05
2.175625	3.31832e-05
2.179	4.814523e-05
2.191375	3.660105e-05
2.20375	4.370147e-05
2.216125	5.622605e-05
2.2285	3.996556e-05
2.2375	3.554902e-05
2.240875	2.749108e-05
2.25325	5.364493e-05
2.265625	5.455813e-05
2.278	4.187598e-05
2.290375	3.383829e-05
2.299375	2.946359e-05
2.30275	3.471169e-05
2.315125	4.072406e-05
2.3275	3.423174e-05
2.339875	3.179605e-05
2.35225	2.963994e-05
2.36125	2.938201e-05
2.364625	3.186098e-05
2.377	3.91611e-05
2.389375	4.259219e-05
2.40175	3.04376e-05
2.414125	1.937076e-05
2.423125	3.344893e-05
2.4265	1.808372e-05
2.438875	1.56589e-05
2.45125	4.506331e-05
2.463625	4.216079e-05
2.476	4.243186e-05
2.485	4.066795e-05
2.488375	3.857499e-05
2.50075	1.827158e-05
2.513125	2.455043e-05
2.5255	3.078794e-05
2.537875	4.257372e-05
2.546875	3.839442e-05
2.55025	3.96743e-05
2.562625	4.283821e-05
2.575	3.7956e-05
2.587375	3.423154e-05
2.59975	3.128247e-05
2.60875	3.456218e-05
2.612125	5.202802e-05
2.6245	4.972241e-05
2.636875	3.961404e-05
2.64925	4.440067e-05
2.661625	2.878128e-05
2.670625	4.912175e-05
